Time,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,CAN,CAT,CMCSA,COP,COST,CRM,CSCO,CVX,DHR,DIS,FB,GOOGL,HD,INTC,INTU,JNJ,JPM,KO,LIN,LLY,MA,MCD,META,MRK,MSFT,NFLX,NVDA,ORCL,PEP,PFE,PG,PM,TMO,TSLA,TXN,UNH,V,VZ,WFC,WMT,XOM
4/28/17,-6.96088E-05,0.022061858,-0.011363097,0.027741489,-0.085910653,-0.00457122,0.043370857,0.008449032,-0.010597711,0,0.11138229,0.046936288,-0.039302186,0.058620073,0.044005334,0.016737539,-0.006240104,-0.025721969,0.019490255,0.057726153,0.090493041,0.063134237,0.00221791,0.082605021,-0.008671216,-0.003890884,0.0167295,0,-0.024372845,0.036261608,0.079623486,0,-0.019043122,0.03947768,0.029700291,-0.042504361,0.012197836,0.012694439,-0.008477053,-0.020566176,-0.018246236,0.076367188,0.128530363,-0.011047974,0.066276447,0.026443119,-0.047026658,-0.032698527,0.043007769,-0.004389709
5/31/17,0.067769789,0.001213224,0.046287809,0.06071482,-0.158646617,-0.042640235,0.075276489,0.08455233,-0.036632391,0,0.030999413,0.063791784,-0.061996582,0.121380157,0.0408732,-0.074552392,-0.020174176,0.019320773,-0.066262976,0.008053245,0.067678363,-0.010904164,0.006254194,0.123232969,0.045555539,-0.055747126,0.053765933,0,-0.02405817,0.056396149,0.078324877,0,0.044601316,0.025889805,0.071419185,0.385413189,0.009564057,0.038797669,-0.02811561,0.008702622,0.080837243,0.045121877,0.085777056,0.041803486,0.001715462,0.045836874,0.015900675,-0.043568032,0.052442586,-0.004816348
6/30/17,-0.05721393,0.098303544,0.064607972,-0.002960665,0.115281501,0.109443442,-0.02676399,-0.022679023,0.082552432,0,0.019254482,-0.062664908,-0.016334751,-0.113617469,-0.033913432,-0.00729464,0.008214148,-0.004833357,-0.015656846,-0.003169154,-0.058160857,-0.000716566,-0.065632789,-0.055674061,0.031500975,0.112598904,-0.005530658,0,0.034309413,-0.01163737,0.021305253,0,-0.008353688,-0.013029782,-0.083767707,0.001454797,0.104648601,-0.011807992,0.028790199,-0.010670905,-0.011132797,0.010588608,0.060408786,-0.067402109,0.062855096,-0.015226294,-0.04245283,0.083496285,-0.037150127,0.002857143
7/31/17,0.032703791,-0.027272657,0.01726196,0.035704186,0.090544872,0.013238112,0.020433884,0.058399485,-0.005770816,0,0.068119491,0.039311408,0.038401233,-0.008878885,0.048498845,0.014158767,0.046582958,-0.034364261,0.042443862,0.121009405,0.017016608,-0.024771838,0.051274452,0.035809396,0.003250435,0.009790795,0.022073579,0,0.004374241,0.054182765,0.012927657,0,-0.003276642,0.054693167,0.215849006,0.124169895,-0.000437198,0.009697809,-0.012801429,0.050245314,-0.006300553,0.006075543,-0.105472747,0.064377119,0.034462302,0.061633611,0.098124864,-0.026529507,0.056950317,-0.008547009
8/31/17,0.10714185,0.077099127,0.035786905,0.059184927,-0.044819985,0.025570333,-0.007268825,0.021933025,-0.004556362,0,0.031066257,0.003955501,-0.037690104,-0.008071741,0.051651982,0.024165342,-0.00441538,0.023683888,-0.079414173,0.016070901,0.010301428,0.007755202,-0.003893552,0.030901538,0.003725148,-0.009912854,-0.006326353,0,-0.010272234,0.043035994,0.037208925,0,-0.000313087,0.033951251,-0.038258285,0.043541531,0.008011216,-0.000608398,0.032862501,0.015965646,0.001885014,0.06614254,0.100256593,0.017694765,0.036963662,0.04143551,-0.008884298,-0.04632086,-0.017903767,-0.037053241
9/29/17,-0.060243902,0.180079681,0.047506871,-0.038540861,-0.019230769,0.048827136,-0.019630838,-0.033878382,0.060694851,0,0.061452038,-0.052450135,0.146358223,0.048168942,-0.021677663,0.044085688,0.091804497,0.029983436,-0.025988142,-0.006396464,0.019345924,0.091345833,0.085828343,0.004878049,-0.017828813,0.050830674,-0.003925943,0,0.052281953,0.059264816,-0.020566356,0,0.009789284,-0.003744817,0.038005838,0.055063739,-0.039340354,-0.037155448,0.052476415,-0.013980709,-0.041575668,0.011798929,-0.041584715,0.082347259,-0.011607744,0.016615147,0.031686471,0.079890347,0.000896631,0.0740207
10/31/17,0.096807682,0.022752749,0.021227043,0.174152031,-0.138431373,-0.060230625,0.149716544,0.088109178,0.080899763,0,0.095392223,-0.059818993,0.027460293,-0.019538621,0.095482766,0.024268727,-0.013702128,0.075658662,-0.007710257,0.053783578,0.060921004,0.013573001,0.194590336,0.065347558,0.072302131,0.059473383,0.021550766,0,-0.042085574,0.055224382,0.065292316,0,-0.139622052,0.116659954,0.083154122,0.156849583,0.05688938,-0.010769093,-0.017927171,-0.043855005,-0.057382218,0.024471459,-0.028056288,0.085609842,0.073372479,0.045039909,-0.021041876,0.017951043,0.117353468,0.016711393
11/30/17,0.020290043,0.073905817,0.039461553,0.036024206,-0.008648157,0.009262243,0.064662348,0.053162063,0.032858708,0,0.039396171,0.04190952,-0.005278592,0.148307252,0.019347274,0.092240117,0.036428211,0.022650916,0.071669563,-0.015994668,0.003029892,0.090136955,-0.008537114,0.041054165,0.005505211,0.038862936,0.003479774,0,0.03946245,0.011427035,0.036366904,0,0.003267381,0.017023601,-0.045054218,-0.028818356,-0.036149312,0.064365418,0.043629103,0.042274728,-0.018061927,-0.005520301,-0.068410099,0.006205399,0.088954429,0.025529711,0.063087529,0.01282385,0.113618142,0.008557281
12/29/17,-0.015245854,-0.002166735,0.012417953,-0.034330743,-0.056014692,-0.010019356,-0.006186531,-0.069581839,0.047923323,0,0.116400992,0.066862014,0.078812893,0.009163368,-0.020034509,0.026809651,0.052105219,-0.01484853,0.033928962,-0.004063664,0.016628546,0.053998443,0.029438002,0.003561888,0.00279911,0.023153463,0.002403321,0,-0.002126654,0.0059148,0.000872245,0,0.026817951,0.016276583,0.023350037,-0.035922475,-0.036282104,0.02917954,-0.001103144,0.021002334,0.038765183,-0.014156243,0.008094544,0.073491623,-0.033790595,0.01270095,0.040086461,0.074375775,0.0209851,0.004202185
1/31/18,-0.010636412,0.16867564,0.094362131,0.139922392,0.336575875,0.06986774,0.240638922,-0.034527053,0.08401084,0,0.037727351,0.065994981,0.071415558,0.04701268,0.114252176,0.092662308,0.001278057,0.09114415,0.010789694,0.05910688,0.122289728,0.059990503,0.042894281,0.06665747,-0.010950472,0.087189545,0.037271142,0,-0.035638172,0.118295936,-0.005693702,0,0.052958948,0.11070844,0.408105855,0.270284238,0.095384903,0.003168779,0.022639426,-0.053110189,0.01495504,0.180271751,0.137979766,0.056001137,0.074027034,0.089545694,0.033215992,0.084226141,0.079493671,0.043758967
